09N05S	BEAVER SPRING
11P02S	FORT VALLEY
11P08S	SNOWSLIDE CANYON
06J08S	ARAPAHO RIDGE
07J03S	BEAR RIVER
07M32S	BEARTOWN
06K45S	BEAVER CK VILLAGE
07K12S	BISON LAKE
06K40S	BRUMLEY
06K16S	BUCKSKIN JOE
06J18S	BUFFALO PARK
07K02S	BURRO MOUNTAIN
07M05S	CASCADE
07M35S	CASCADE #2
06K46S	CHAPMAN TUNNEL
06J03S	COLUMBINE
08L02S	COLUMBINE PASS
08M10S	COLUMBUS BASIN
06K24S	COPPER MOUNTAIN
07J04S	CROSHO
06J01S	DRY LAKE
08M06S	EL DIENTE PEAK
06K29S	ELLIOT RIDGE
06K08S	FREMONT PASS
06K01S	HOOSIER PASS
07M27S	IDARADO
06K04S	INDEPENDENCE PASS
06K10S	IVANHOE
06K30S	KILN
07M29S	LIZARD HEAD PASS
08M07S	LONE CONE
06J38S	LOST DOG
06J06S	LYNX PASS
08M02S	MANCOS
07K09S	MC CLURE PASS
06K44S	MCCOY PARK
08K04S	MESA LAKES
07M21S	MIDDLE CREEK
06K12S	MIDDLE FORK CAMP
07M14S	MINERAL CREEK
07M12S	MOLAS LAKE
06K06S	NAST LAKE
07K01S	NORTH LOST TRAIL
07K14S	OVERLAND RES.
07K06S	PARK RESERVOIR
06L03S	PORPHYRY CREEK
06J09S	RABBIT EARS
06J20S	RAWAH
07M33S	RED MOUNTAIN PASS
07J05S	RIPPLE CREEK
06J12S	ROACH
06K43S	ROUGH AND TUMBLE
06L05S	SAINT ELMO
06L13S	SARGENTS MESA
07K11S	SCHOFIELD PASS
08M08S	SCOTCH CREEK
08M04S	SHARKSTOOTH
07M30S	SLUMGULLION
07M11S	SPUD MOUNTAIN
07M34S	STUMP LAKES
06K14S	SUMMIT RANCH
06J29S	TOWER
07K13S	TRAPPER LAKE
07M16S	UPPER RIO GRANDE
06K39S	VAIL MOUNTAIN
07M31S	VALLECITO
06J05S	WILLOW CREEK PASS
06J19S	ZIRKEL
11G06S	EMIGRANT SUMMIT
11G32S	FRANKLIN BASIN
11G33S	GIVEOUT
11F02S	PINE CREEK PASS
11G30S	SEDGWICK PEAK
11F11S	SHEEP MTN.
11G05S	SLUG CREEK DIVIDE
11G01S	SOMSEN RANCH
08N03S	NAVAJO WHISKEY CK
08P03S	RICE PARK
12M26S	AGUA CANYON
11K13S	BEAVER DAMS
11J46S	BEAVER DIVIDE
11H08S	BEN LOMOND PEAK
11H30S	BEN LOMOND TRAIL
12L07S	BIG FLAT
11L04S	BLACK FLAT-U.M. CK
12L04S	BOX CREEK
11J57S	BRIGHTON
10J30S	BROWN DUCK
11K31S	BUCK FLAT
11H37S	BUG LAKE
10J06S	BURTS MILLER RANCH
09M02S	CAMP JACKSON
11J70S	CASCADE MOUNTAIN
12M13S	CASTLE VALLEY
11J01S	CHALK CREEK #1
11J02S	CHALK CREEK #2
10J43S	CHEPETA
11M06S	CLAYTON SPRINGS
11K21S	CLEAR CREEK #1
11K22S	CLEAR CREEK #2
11J32S	CURRANT CREEK
11J23S	DANIELS-STRAWBERRY
11K15S	DILLS CAMP
11L05S	DONKEY RESERVOIR
11H55S	DRY BREAD POND
12J09S	DRY FORK
09K01S	EAST WILLOW CREEK
11J11S	FARMINGTON
11J12S	FARMINGTON LOWER
11L01S	FARNSWORTH LAKE
10J26S	FIVE POINTS LAKE
11H07S	GARDEN CITY SUMMIT
13M07S	GARDNER PEAK
11L12S	GOOSEBERRY R.S.
13M06S	GUTZ PEAK
11J37S	HARDSCRABBLE
12M05S	HARRIS FLAT
10J44S	HAYDEN FORK
10J04S	HEWINTA
09J08S	HICKERSON PARK
10J01S	HOLE-IN-ROCK
11H21S	HORSE RIDGE
10K01S	INDIAN CANYON
12L20S	JONES CORRAL
12L06S	KIMBERLY MINE
09J01S	KINGS CABIN
11H01S	KLONDIKE NARROWS
13M05S	KOLOB
10J10S	LAKEFORK #1
10J12S	LAKEFORK #3
10J25S	LAKEFORK BASIN
09L03S	LASAL MOUNTAIN
11H59S	LIGHTNING RIDGE
10J35S	LILY LAKE
11H25S	LITTLE BEAR
13M04S	LITTLE GRASSY
13M02S	LONG FLAT
12M06S	LONG VALLEY JCT
11J64S	LOOKOUT PEAK
11J69S	LOUIS MEADOW
11K03S	MAMMOTH-COTTONWOOD
12L12S	MERCHANT VALLEY
12M23S	MIDWAY VALLEY
11J65S	MILL-D NORTH
12J07S	MINING FORK
11H57S	MONTE CRISTO
09J05S	MOSBY MTN.
11J52S	PARLEYS SUMMIT
11J68S	PARRISH CREEK
11K52S	PAYSON R.S.
11K39S	PICKLE KEG
12L15S	PINE CREEK
11K28S	RED PINE RIDGE
10J18S	ROCK CREEK
12J06S	ROCKY BASIN-SETTLEME
11K09S	SEELEY CREEK
11J53S	SMITH & MOREHOUSE
11J42S	SNOWBIRD
10J55S	SPIRIT LK
10J20S	STEEL CREEK PARK
11J08S	STRAWBERRY DIVIDE
11H58S	TEMPLE FORK
11J56S	THAYNES CANYON
10K06S	TIMBERLINE
11J21S	TIMPANOGOS DIVIDE
11H36S	TONY GROVE LAKE
11H03S	TONY GROVE RS
10J52S	TRIAL LAKE
09J16S	TROUT CREEK
11H60S	USU DOC DANIEL
12K01S	VERNON CREEK
12M03S	WEBSTER FLAT
10K02S	WHITE RIVER #1
11M03S	WIDTSOE #3
10F02S	BASE CAMP
07H04S	BATTLE MOUNTAIN
09G09S	BIG SANDY OPENING
06H26S	BLACKHALL MTN
10G02S	BLIND BULL SUM
10G25S	COTTONWOOD CREEK
08G10S	DEER PARK
07H05S	DIVIDE PEAK
10F17S	EAST RIM DIVIDE
09F23S	ELKHART PARK G.S.
10F29S	GRANITE CREEK
10F19S	GROS VENTRE SUMMIT
10G24S	HAMS FORK
09G03S	HOBBS PARK
10G22S	INDIAN CREEK
10G12S	KELLEY R.S.
10F15S	KENDALL R.S.
09G06S	LARSEN CREEK
10F16S	LOOMIS PARK
09F21S	NEW FORK LAKE
10F23S	PHILLIPS BENCH
09G11S	POCKET CREEK
07H06S	SAGE CREEK BASIN
10G08S	SALT RIVER SUMMIT
07H03S	SANDSTONE RS
10G13S	SNIDER BASIN
08G03S	SOUTH PASS
10G20S	SPRING CREEK DIVIDE
09F27S	ST. LAWRENCE ALT
10F09S	TOGWOTEE PASS
08G07S	TOWNSEND CREEK
10G15S	TRIPLE PEAK
10G23S	WILLOW CREEK
